bootstrap_objective,threshold_aggregation,fold,subject_id,label,pred_label,error_type,prob,threshold,margin,feature,raw_value_imputed,zscore,train_percentile,class0_mean_z,class1_mean_z,class_contrast_z,positive_side_score,direction,supports_error
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,VDJ_emg_VLO_peak_t_ms,85.99999999999986,-0.0864813477831011,0.59375,0.3124806593810391,-0.7985616850848769,-1.111042344465916,-0.1565591650688178,negative_like,True
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,VDJ_emg_SEMITEND_min,28.500633239746094,1.5131841270308666,0.9375,-0.2752275580984845,0.7033593151405717,0.9785868732390561,1.299118248509823,positive_like,False
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,SSC_imu_roll_deg_peak_t_ms,-67.00000000000017,-1.320343101176421,0.0625,0.21988745383067618,-0.5619346042339504,-0.7818220580646266,1.149319525974784,positive_like,False
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,VDJ_ik_hip_adduction_r_range,12.109125436999998,0.8799808930863912,0.84375,-0.22062545762579214,0.5638206139325801,0.7844460715583722,0.7083833149329972,positive_like,False
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,SSC_syn2_early_integral,0.0433990696880173,-0.13675782493555422,0.5625,0.18614170250199766,-0.47569546194954904,-0.6618371644515467,-0.008019054788221458,negative_like,True
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,VDJ_id_knee_angle_r_moment_min,-25.99072872999916,-0.6325588153703812,0.1875,-0.15845484531195814,0.40494016024167223,0.5633950055536303,-0.7558014728352382,negative_like,True
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,SSC_ik_hip_rotation_r_range,14.83732166,0.22415274155132928,0.6875,0.1778178627638697,-0.45442342706322275,-0.6322412898270925,-0.36245552370100576,negative_like,True
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,VDJ_emg_VMO_max,353.8821716308594,1.5260469428007815,0.96875,0.22730616598870895,-0.5808935353044786,-0.8081997012931876,-1.7028406274586663,negative_like,True
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,SSC_emg_MED. GASTRO_min,16.20768165588379,-0.24712307721881838,0.625,0.1764351105201235,-0.45088972688476026,-0.6273248374048838,0.1098957690365,positive_like,False
accuracy,median,0,33,1,0,FN,0.215712311604823,0.3237403440924212,-0.10802803248759821,SSC_id_hip_adduction_r_moment_std,52.73573844987331,-0.2574329076533785,0.4375,-0.23345987849776356,0.5966196894942818,0.8300795679920454,-0.43901281315163765,negative_like,True
