outer_fold,inner_fold,n_train,n_val,best_epoch,loss_name,pos_weight,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,0,24,8,14,bce,1.0,0.5,0.9333333333333333,0.9166666666666666,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
0,1,24,8,25,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
0,2,24,8,26,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
0,3,24,8,17,bce,1.0,0.5,0.75,0.7,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
1,0,24,8,18,bce,1.0,0.5,1.0,1.0,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
1,1,24,8,1,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
1,2,24,8,45,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
1,3,24,8,15,bce,1.0,0.5,0.8666666666666667,0.8055555555555556,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
2,0,24,8,5,bce,1.0,0.5,0.8333333333333334,0.5833333333333333,0.625,0.0,0.8333333333333334,0.0,0.0,5.0,1.0,2.0
2,1,24,8,1,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
2,2,24,8,13,bce,1.0,0.5,0.7500000000000001,0.5,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
2,3,24,8,8,bce,1.0,0.5,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
3,0,24,8,17,bce,1.0,0.5,0.8333333333333334,0.5833333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
3,1,24,8,5,bce,1.0,0.5,0.8333333333333334,0.75,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
3,2,24,8,18,bce,1.0,0.5,0.75,0.7,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
3,3,24,8,20,bce,1.0,0.5,0.8666666666666667,0.8666666666666667,0.625,1.0,0.4,0.6666666666666666,3.0,2.0,3.0,0.0
4,0,24,8,4,bce,1.0,0.5,1.0,1.0,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
4,1,24,8,11,bce,1.0,0.5,1.0,1.0,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0
4,2,24,8,31,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
4,3,24,8,31,bce,1.0,0.5,0.7333333333333333,0.7222222222222223,0.625,0.3333333333333333,0.8,0.4,1.0,4.0,1.0,2.0
