fold,strategy,threshold,oof_objective,oof_f1,oof_youden,oof_accuracy,val_f1,val_youden,val_accuracy
0,accuracy,0.42340177674128127,0.8125,0.5714285714285714,0.40096618357487923,0.8125,0.0,0.0,0.75
0,balanced_accuracy,0.241757705481536,0.7826086956521738,0.6428571428571429,0.5652173913043477,0.6875,0.6666666666666666,0.6666666666666665,0.75
0,f1,0.315491008702808,0.6666666666666666,0.6666666666666666,0.536231884057971,0.8125,0.8,0.8333333333333335,0.875
0,youden,0.241757705481536,0.5652173913043477,0.6428571428571429,0.5652173913043477,0.6875,0.6666666666666666,0.6666666666666665,0.75
1,accuracy,0.41016446393039785,0.84375,0.6666666666666667,0.5120772946859904,0.84375,0.6666666666666666,0.5,0.875
1,balanced_accuracy,0.23516631461139975,0.8043478260869565,0.6666666666666666,0.6086956521739131,0.71875,0.5714285714285715,0.5,0.625
1,f1,0.36167930466256454,0.7000000000000001,0.7000000000000001,0.6038647342995169,0.8125,0.8,0.8333333333333335,0.875
1,youden,0.23516631461139975,0.6086956521739131,0.6666666666666666,0.6086956521739131,0.71875,0.5714285714285715,0.5,0.625
2,accuracy,0.34844875381971513,0.8125,0.5714285714285715,0.4166666666666665,0.8125,0.4,0.1333333333333333,0.625
2,balanced_accuracy,0.25070168769441953,0.8125,0.6666666666666667,0.625,0.78125,0.7499999999999999,0.6000000000000001,0.75
2,f1,0.25070168769441953,0.6666666666666667,0.6666666666666667,0.625,0.78125,0.7499999999999999,0.6000000000000001,0.75
2,youden,0.25070168769441953,0.625,0.6666666666666667,0.625,0.78125,0.7499999999999999,0.6000000000000001,0.75
3,accuracy,0.3945793889317868,0.78125,0.46153846153846156,0.28985507246376807,0.78125,1.0,1.0,1.0
3,balanced_accuracy,0.27977889612885937,0.7705314009661836,0.64,0.5410628019323671,0.71875,0.8,0.8333333333333335,0.875
3,f1,0.27977889612885937,0.64,0.64,0.5410628019323671,0.71875,0.8,0.8333333333333335,0.875
3,youden,0.27977889612885937,0.5410628019323671,0.64,0.5410628019323671,0.71875,0.8,0.8333333333333335,0.875
4,accuracy,0.41079667195228065,0.8125,0.5,0.33333333333333326,0.8125,1.0,1.0,1.0
4,balanced_accuracy,0.27581112228418136,0.748792270531401,0.6153846153846153,0.4975845410628019,0.6875,0.6666666666666666,0.6666666666666665,0.75
4,f1,0.27581112228418136,0.6153846153846153,0.6153846153846153,0.4975845410628019,0.6875,0.6666666666666666,0.6666666666666665,0.75
4,youden,0.27581112228418136,0.4975845410628019,0.6153846153846153,0.4975845410628019,0.6875,0.6666666666666666,0.6666666666666665,0.75
