outer_fold,inner_fold,ensemble_size,n_train,n_val,chosen_k,best_epoch,best_epoch_mean,best_epoch_min,best_epoch_max,val_loss,loss_name,pos_weight,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,0,10,24,8,20,13,12.9,1,24,0.6629192233085632,bce,1.0,0.5,0.7333333333333333,0.5888888888888888,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
0,1,10,24,8,20,16,13.9,3,24,0.6421006143093109,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
0,2,10,24,8,20,11,10.6,1,21,0.6297087132930755,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
0,3,10,24,8,20,15,13.0,1,24,0.5991724401712417,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
1,0,10,24,8,30,10,10.3,3,19,0.6250015497207642,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,1,10,24,8,30,16,16.5,11,25,0.608903580904007,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
1,2,10,24,8,30,9,10.4,1,22,0.6542079448699951,bce,1.0,0.5,0.8333333333333334,0.75,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
1,3,10,24,8,30,20,18.1,4,35,0.5731157064437866,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0
2,0,10,24,8,40,18,17.0,2,27,0.5605373024940491,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
2,1,10,24,8,40,14,11.8,1,27,0.6298862725496293,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
2,2,10,24,8,40,6,12.9,1,47,0.6341384291648865,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
2,3,10,24,8,40,12,10.7,1,22,0.5762967675924301,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
3,0,10,24,8,20,16,14.2,1,27,0.6534391522407532,bce,1.0,0.5,0.6666666666666667,0.41666666666666663,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
3,1,10,24,8,20,22,18.5,2,26,0.6354141950607299,bce,1.0,0.5,0.7500000000000001,0.5,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
3,2,10,24,8,20,20,18.4,8,28,0.5640152633190155,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
3,3,10,24,8,20,23,24.5,1,63,0.6131917536258698,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
4,0,10,24,8,40,8,12.4,3,31,0.6197621613740921,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,1,10,24,8,40,16,15.2,1,35,0.5777884423732758,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
4,2,10,24,8,40,13,15.8,1,29,0.5786639958620071,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
4,3,10,24,8,40,9,8.9,1,18,0.596008586883545,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0
