fold,k,n_selected,anchor_current_biomarkers,n_anchor_features,inner_splits,k_selection_metric,k_selection_score,k_selection_threshold,oof_auroc,oof_auprc,oof_accuracy_at_0.5,oof_f1_at_0.5,oof_accuracy_tuned,oof_f1_tuned,oof_youden_tuned,chosen,selected_features
0,20,20,1,20,4.0,f1,0.9,0.5335955757187691,0.9661835748792271,0.8969496552829885,0.78125,0.72,0.9375,0.9,0.9130434782608696,True,VDJ_emg_VLO_peak_t_ms;VDJ_emg_SEMITEND_min;SSC_imu_roll_deg_peak_t_ms;VDJ_ik_hip_adduction_r_range;SSC_syn2_early_integral;VDJ_id_knee_angle_r_moment_min;SSC_ik_hip_rotation_r_range;VDJ_emg_VMO_max;SSC_emg_MED. GASTRO_min;SSC_id_hip_adduction_r_moment_std;VDJ_ik_hip_adduction_r_std;VDJ_ik_hip_adduction_r_abs_peak;VDJ_syn1_sparsity;VDJ_emg_VMO_abs_peak;SSC_ik_subtalar_angle_r_std;VDJ_label_duration;VDJ_grf_grf2_vz_peak_t_ms;VDJ_id_knee_angle_r_moment_mean;VDJ_imu_Accel_Earth_Y_mG_abs_peak;VDJ_id_hip_rotation_r_moment_mean
0,30,30,1,20,4.0,f1,0.8888888888888888,0.59,0.9420289855072463,0.8449294532627866,0.8125,0.7272727272727274,0.9375,0.8888888888888888,0.8454106280193237,False,
0,40,40,1,20,4.0,f1,0.8421052631578948,0.595,0.9420289855072463,0.8957282913165265,0.71875,0.6666666666666666,0.90625,0.8421052631578948,0.8019323671497585,False,
1,30,30,1,20,4.0,f1,0.9,0.5299999999999999,0.9468599033816426,0.8511383678050345,0.78125,0.72,0.9375,0.9,0.9130434782608696,True,VDJ_emg_VLO_peak_t_ms;VDJ_emg_SEMITEND_min;SSC_imu_roll_deg_peak_t_ms;VDJ_ik_hip_adduction_r_range;SSC_syn2_early_integral;VDJ_id_knee_angle_r_moment_min;SSC_ik_hip_rotation_r_range;VDJ_emg_VMO_max;SSC_emg_MED. GASTRO_min;SSC_id_hip_adduction_r_moment_std;VDJ_ik_hip_adduction_r_std;VDJ_ik_hip_adduction_r_abs_peak;VDJ_syn1_sparsity;VDJ_emg_VMO_abs_peak;SSC_ik_subtalar_angle_r_std;VDJ_label_duration;VDJ_grf_grf2_vz_peak_t_ms;VDJ_id_knee_angle_r_moment_mean;VDJ_imu_Accel_Earth_Y_mG_abs_peak;VDJ_id_hip_rotation_r_moment_mean;SSC_syn1_early_integral;VDJ_ik_knee_angle_r_max;VDJ_id_hip_flexion_r_moment_peak_t_ms;SSC_syn3_sparsity;VDJ_imu_Rot_X_max;SSC_id_ankle_angle_r_moment_peak_t_ms;VDJ_emg_BICEPS FEM_min;SSC_syn1_peak_t_ms;VDJ_imu_Accel_Earth_Y_mG_max;SSC_id_knee_angle_r_moment_auc
1,40,40,1,20,4.0,f1,0.8888888888888888,0.6484979433669933,0.966183574879227,0.9115961199294532,0.75,0.6923076923076924,0.9375,0.8888888888888888,0.8454106280193237,False,
1,20,20,1,20,4.0,f1,0.8888888888888888,0.58,0.9371980676328502,0.8078924162257495,0.71875,0.6666666666666666,0.9375,0.8888888888888888,0.8454106280193237,False,
2,40,40,1,20,4.0,f1,0.9411764705882353,0.6399999999999999,0.984375,0.9526289682539684,0.90625,0.8421052631578948,0.96875,0.9411764705882353,0.9583333333333335,True,VDJ_emg_VLO_peak_t_ms;VDJ_emg_SEMITEND_min;SSC_imu_roll_deg_peak_t_ms;VDJ_ik_hip_adduction_r_range;SSC_syn2_early_integral;VDJ_id_knee_angle_r_moment_min;SSC_ik_hip_rotation_r_range;VDJ_emg_VMO_max;SSC_emg_MED. GASTRO_min;SSC_id_hip_adduction_r_moment_std;VDJ_ik_hip_adduction_r_std;VDJ_ik_hip_adduction_r_abs_peak;VDJ_syn1_sparsity;VDJ_emg_VMO_abs_peak;SSC_ik_subtalar_angle_r_std;VDJ_label_duration;VDJ_grf_grf2_vz_peak_t_ms;VDJ_id_knee_angle_r_moment_mean;VDJ_imu_Accel_Earth_Y_mG_abs_peak;VDJ_id_hip_rotation_r_moment_mean;VDJ_emg_MED. GASTRO_range;VDJ_id_subtalar_angle_r_moment_min;VDJ_id_hip_adduction_r_moment_mean;SSC_ik_hip_flexion_r_std;SSC_id_knee_angle_r_moment_max;SSC_id_knee_angle_r_moment_std;SSC_id_knee_angle_r_moment_auc;VDJ_id_knee_angle_r_moment_std;SSC_syn1_peak_t_ms;SSC_emg_VLO_peak_t_ms;VDJ_imu_Accel_Earth_X_mG_min;SSC_emg_BICEPS FEM_min;SSC_emg_LAT. GASTRO_peak_t_ms;SSC_imu_Accel_Earth_X_mG_auc;SSC_ik_hip_flexion_r_max;SSC_syn1_sparsity;SSC_id_hip_flexion_r_moment_max;VDJ_id_hip_adduction_r_moment_min;VDJ_syn2_early_integral;SSC_id_knee_angle_r_moment_peak_t_ms
2,20,20,1,20,4.0,f1,0.888888888888889,0.5599999999999999,0.9739583333333333,0.9293650793650794,0.75,0.6666666666666666,0.9375,0.888888888888889,0.9166666666666665,False,
2,30,30,1,20,4.0,f1,0.888888888888889,0.565,0.9739583333333333,0.9206845238095238,0.84375,0.761904761904762,0.9375,0.888888888888889,0.9166666666666665,False,
3,20,20,1,20,4.0,f1,0.782608695652174,0.5447068298420661,0.927536231884058,0.8436507936507938,0.75,0.6923076923076924,0.84375,0.782608695652174,0.7826086956521738,True,VDJ_emg_VLO_peak_t_ms;VDJ_emg_SEMITEND_min;SSC_imu_roll_deg_peak_t_ms;VDJ_ik_hip_adduction_r_range;SSC_syn2_early_integral;VDJ_id_knee_angle_r_moment_min;SSC_ik_hip_rotation_r_range;VDJ_emg_VMO_max;SSC_emg_MED. GASTRO_min;SSC_id_hip_adduction_r_moment_std;VDJ_ik_hip_adduction_r_std;VDJ_ik_hip_adduction_r_abs_peak;VDJ_syn1_sparsity;VDJ_emg_VMO_abs_peak;SSC_ik_subtalar_angle_r_std;VDJ_label_duration;VDJ_grf_grf2_vz_peak_t_ms;VDJ_id_knee_angle_r_moment_mean;VDJ_imu_Accel_Earth_Y_mG_abs_peak;VDJ_id_hip_rotation_r_moment_mean
