fold,strategy,chosen_k,threshold,oof_objective,oof_f1,oof_youden,oof_accuracy,val_f1,val_youden,val_accuracy
0,accuracy,20,0.3999020337059874,0.84375,0.6153846153846153,0.4444444444444444,0.84375,0.0,0.0,0.75
0,balanced_accuracy,20,0.28848266473404754,0.8695652173913043,0.7499999999999999,0.7391304347826086,0.8125,0.5,0.3333333333333335,0.75
0,f1,20,0.31467952580710884,0.761904761904762,0.761904761904762,0.7149758454106281,0.84375,0.6666666666666666,0.5,0.875
0,youden,20,0.28848266473404754,0.7391304347826086,0.7499999999999999,0.7391304347826086,0.8125,0.5,0.3333333333333335,0.75
1,accuracy,30,0.3864934557861966,0.875,0.7142857142857143,0.5555555555555556,0.875,0.0,-0.16666666666666663,0.625
1,balanced_accuracy,30,0.3244506908373027,0.857487922705314,0.761904761904762,0.7149758454106281,0.84375,0.6666666666666666,0.6666666666666665,0.75
1,f1,30,0.3244506908373027,0.761904761904762,0.761904761904762,0.7149758454106281,0.84375,0.6666666666666666,0.6666666666666665,0.75
1,youden,30,0.3244506908373027,0.7149758454106281,0.761904761904762,0.7149758454106281,0.84375,0.6666666666666666,0.6666666666666665,0.75
2,accuracy,40,0.32471615233748014,0.96875,0.9411764705882353,0.9583333333333335,0.96875,0.4,0.1333333333333333,0.625
2,balanced_accuracy,40,0.32471615233748014,0.9791666666666667,0.9411764705882353,0.9583333333333335,0.96875,0.4,0.1333333333333333,0.625
2,f1,40,0.32471615233748014,0.9411764705882353,0.9411764705882353,0.9583333333333335,0.96875,0.4,0.1333333333333333,0.625
2,youden,40,0.32471615233748014,0.9583333333333335,0.9411764705882353,0.9583333333333335,0.96875,0.4,0.1333333333333333,0.625
3,accuracy,20,0.41770876559068654,0.78125,0.3636363636363636,0.22222222222222232,0.78125,0.8,0.8333333333333335,0.875
3,balanced_accuracy,20,0.270072922473946,0.8260869565217391,0.6923076923076924,0.6521739130434783,0.75,0.8,0.8333333333333335,0.875
3,f1,20,0.32391043677726356,0.6956521739130435,0.6956521739130435,0.6280193236714975,0.78125,0.8,0.8333333333333335,0.875
3,youden,20,0.270072922473946,0.6521739130434783,0.6923076923076924,0.6521739130434783,0.75,0.8,0.8333333333333335,0.875
4,accuracy,40,0.3567766062936082,0.96875,0.9473684210526316,0.9565217391304348,0.96875,0.0,-0.5,0.375
4,balanced_accuracy,40,0.3567766062936082,0.9782608695652174,0.9473684210526316,0.9565217391304348,0.96875,0.0,-0.5,0.375
4,f1,40,0.3567766062936082,0.9473684210526316,0.9473684210526316,0.9565217391304348,0.96875,0.0,-0.5,0.375
4,youden,40,0.3567766062936082,0.9565217391304348,0.9473684210526316,0.9565217391304348,0.96875,0.0,-0.5,0.375
