outer_fold,inner_fold,ensemble_size,n_train,n_val,chosen_k,best_epoch,best_epoch_mean,best_epoch_min,best_epoch_max,val_loss,loss_name,pos_weight,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,0,10,24,8,20,8,7.8,1,18,0.7026145875453949,bce,1.0,0.5,0.6666666666666666,0.7916666666666666,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
0,1,10,24,8,20,13,13.2,1,25,0.7166985630989074,bce,1.0,0.5,0.5833333333333334,0.3666666666666667,0.5,0.5,0.5,0.3333333333333333,1.0,3.0,3.0,1.0
0,2,10,24,8,20,16,18.0,1,44,0.7516744256019592,bce,1.0,0.5,0.7500000000000001,0.5,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
0,3,10,24,8,20,9,11.6,1,25,0.615470540523529,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,0,10,24,8,30,8,13.8,1,53,0.6679202646017075,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
1,1,10,24,8,30,19,19.9,1,57,0.684777843952179,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,2,10,24,8,30,10,14.0,1,50,0.7769704163074493,bce,1.0,0.5,0.16666666666666669,0.225,0.375,0.0,0.5,0.0,0.0,3.0,3.0,2.0
1,3,10,24,8,30,24,25.1,1,56,0.686597591638565,bce,1.0,0.5,0.8,0.8333333333333333,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
2,0,10,24,8,40,9,9.3,1,19,0.6524580627679825,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
2,1,10,24,8,40,4,10.5,1,32,0.6814136922359466,bce,1.0,0.5,0.8333333333333334,0.75,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
2,2,10,24,8,40,16,18.5,1,42,0.6799928665161132,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
2,3,10,24,8,40,12,14.8,1,39,0.6150126516819,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
3,0,10,24,8,20,12,11.7,1,21,0.698172128200531,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0
3,1,10,24,8,20,10,13.6,1,52,0.6987221479415894,bce,1.0,0.5,0.6666666666666667,0.45,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
3,2,10,24,8,20,8,9.3,1,30,0.6220408856868744,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
3,3,10,24,8,20,16,15.8,1,25,0.8116329073905945,bce,1.0,0.5,0.2666666666666666,0.33730158730158727,0.25,0.3333333333333333,0.2,0.25,1.0,1.0,4.0,2.0
4,0,10,24,8,40,4,5.8,1,16,0.7216786563396453,bce,1.0,0.5,0.6666666666666667,0.45,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
4,1,10,24,8,40,13,15.3,1,40,0.6682064890861511,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
4,2,10,24,8,40,14,13.3,2,19,0.6757753133773804,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
4,3,10,24,8,40,18,16.7,1,50,0.7112552762031555,bce,1.0,0.5,0.6666666666666666,0.6984126984126985,0.75,0.3333333333333333,1.0,0.5,1.0,5.0,0.0,2.0
