fold,strategy,chosen_k,threshold,oof_objective,oof_f1,oof_youden,oof_accuracy,val_f1,val_youden,val_accuracy
0,accuracy,20,0.31818647911330095,0.8125,0.6250000000000001,0.468599033816425,0.8125,0.8,0.8333333333333335,0.875
0,balanced_accuracy,20,0.2968803075652134,0.7584541062801933,0.6363636363636364,0.5169082125603865,0.75,0.8,0.8333333333333335,0.875
0,f1,20,0.2968803075652134,0.6363636363636364,0.6363636363636364,0.5169082125603865,0.75,0.8,0.8333333333333335,0.875
0,youden,20,0.2968803075652134,0.5169082125603865,0.6363636363636364,0.5169082125603865,0.75,0.8,0.8333333333333335,0.875
1,accuracy,30,0.32111088961516,0.84375,0.6153846153846153,0.4444444444444444,0.84375,0.0,0.0,0.75
1,balanced_accuracy,30,0.2958351851677951,0.7246376811594203,0.6,0.4492753623188406,0.75,0.4,0.16666666666666652,0.625
1,f1,30,0.32111088961516,0.6153846153846153,0.6153846153846153,0.4444444444444444,0.84375,0.0,0.0,0.75
1,youden,30,0.2958351851677951,0.4492753623188406,0.6,0.4492753623188406,0.75,0.4,0.16666666666666652,0.625
2,accuracy,40,0.3595641755745156,0.90625,0.7692307692307693,0.625,0.90625,0.3333333333333333,-0.06666666666666665,0.5
2,balanced_accuracy,40,0.2269568549838124,0.8541666666666667,0.6956521739130436,0.7083333333333335,0.78125,0.25,-0.4666666666666667,0.25
2,f1,40,0.3595641755745156,0.7692307692307693,0.7692307692307693,0.625,0.90625,0.3333333333333333,-0.06666666666666665,0.5
2,youden,40,0.2269568549838124,0.7083333333333335,0.6956521739130436,0.7083333333333335,0.78125,0.25,-0.4666666666666667,0.25
3,accuracy,20,0.49999999999999994,0.71875,0.0,0.0,0.71875,0.0,0.0,0.75
3,balanced_accuracy,20,0.2673284940573925,0.6835748792270531,0.5517241379310346,0.36714975845410613,0.59375,0.3333333333333333,0.0,0.5
3,f1,20,0.2673284940573925,0.5517241379310346,0.5517241379310346,0.36714975845410613,0.59375,0.3333333333333333,0.0,0.5
3,youden,20,0.2673284940573925,0.36714975845410613,0.5517241379310346,0.36714975845410613,0.59375,0.3333333333333333,0.0,0.5
4,accuracy,40,0.37810498061582276,0.8125,0.5,0.33333333333333326,0.8125,0.0,0.0,0.75
4,balanced_accuracy,40,0.31677553012616805,0.7681159420289855,0.6666666666666666,0.536231884057971,0.8125,0.0,-0.16666666666666663,0.625
4,f1,40,0.31677553012616805,0.6666666666666666,0.6666666666666666,0.536231884057971,0.8125,0.0,-0.16666666666666663,0.625
4,youden,40,0.31677553012616805,0.536231884057971,0.6666666666666666,0.536231884057971,0.8125,0.0,-0.16666666666666663,0.625
