outer_fold,inner_fold,ensemble_size,n_train,n_val,chosen_k,best_epoch,best_epoch_mean,best_epoch_min,best_epoch_max,val_loss,loss_name,pos_weight,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,0,10,24,8,30,11,10.9,1,26,0.7286845564842224,bce,1.0,0.5,0.6,0.6805555555555556,0.625,0.6666666666666666,0.6,0.5714285714285715,2.0,3.0,2.0,1.0
0,1,10,24,8,30,4,6.5,1,21,0.710786247253418,bce,1.0,0.5,0.5833333333333334,0.3666666666666667,0.5,0.5,0.5,0.3333333333333333,1.0,3.0,3.0,1.0
0,2,10,24,8,30,11,19.8,1,67,0.6536703675985336,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
0,3,10,24,8,30,16,18.2,1,41,0.7377355396747589,bce,1.0,0.5,0.5,0.3333333333333333,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
1,0,10,24,8,30,10,17.0,1,54,0.655240136384964,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,1,10,24,8,30,12,13.1,1,33,0.7228268206119537,bce,1.0,0.5,0.8333333333333334,0.75,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
1,2,10,24,8,30,4,5.3,1,13,0.7919529616832733,bce,1.0,0.5,0.25,0.24285714285714285,0.25,0.0,0.3333333333333333,0.0,0.0,2.0,4.0,2.0
1,3,10,24,8,30,18,19.1,1,49,0.6682264089584351,bce,1.0,0.5,0.8666666666666667,0.8055555555555556,0.875,1.0,0.8,0.8571428571428571,3.0,4.0,1.0,0.0
2,0,10,24,8,30,13,15.5,1,35,0.6040117293596268,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
2,1,10,24,8,30,22,18.6,1,32,0.7620928704738616,bce,1.0,0.5,0.4166666666666667,0.29166666666666663,0.5,0.5,0.5,0.3333333333333333,1.0,3.0,3.0,1.0
2,2,10,24,8,30,16,18.5,1,43,0.6504876047372818,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
2,3,10,24,8,30,14,20.9,1,66,0.6539634525775909,bce,1.0,0.5,0.7500000000000001,0.5,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
3,0,10,24,8,20,7,12.9,1,48,0.7222391188144683,bce,1.0,0.5,1.0,1.0,0.375,1.0,0.16666666666666666,0.4444444444444445,2.0,1.0,5.0,0.0
3,1,10,24,8,20,20,19.2,1,36,0.6989105820655823,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
3,2,10,24,8,20,23,21.1,1,42,0.6237227529287338,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
3,3,10,24,8,20,14,22.1,1,58,0.795487904548645,bce,1.0,0.5,0.2666666666666666,0.33730158730158727,0.5,0.0,0.8,0.0,0.0,4.0,1.0,3.0
4,0,10,24,8,20,2,6.4,1,27,0.6907327532768249,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,1,10,24,8,20,18,19.8,1,52,0.6803780704736709,bce,1.0,0.5,0.6666666666666667,0.6666666666666666,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
4,2,10,24,8,20,22,20.6,1,47,0.6399049699306488,bce,1.0,0.5,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
4,3,10,24,8,20,18,17.1,1,43,0.7211690306663513,bce,1.0,0.5,0.8,0.8333333333333333,0.5,0.6666666666666666,0.4,0.5,2.0,2.0,3.0,1.0
