fold,k,n_selected,inner_splits,k_selection_metric,k_selection_score,k_selection_threshold,oof_auroc,oof_auprc,oof_accuracy_at_0.5,oof_f1_at_0.5,oof_accuracy_tuned,oof_f1_tuned,oof_youden_tuned,chosen,selected_features
0,30,30,4.0,f1,0.823529411764706,0.61,0.932367149758454,0.8269721019721019,0.84375,0.761904761904762,0.90625,0.823529411764706,0.7342995169082127,True,VDJ_emg_VLO_peak_t_ms;SSC_ik_hip_rotation_r_range;VDJ_ik_hip_adduction_r_std;SSC_emg_MED. GASTRO_min;VDJ_ik_hip_rotation_r_min;SSC_ik_ankle_angle_r_range;VDJ_ik_hip_adduction_r_abs_peak;SSC_id_hip_adduction_r_moment_std;mean_ankle_pf_rom;VDJ_ik_knee_angle_r_max;diff_ankle_early_cci;SSC_syn2_early_integral;VDJ_label_duration;VDJ_ik_hip_rotation_r_max;VDJ_emg_SEMITEND_min;VDJ_id_knee_angle_r_moment_min;VDJ_emg_VMO_range;SSC_imu_Rot_X_abs_peak;SSC_ik_hip_rotation_r_max;SSC_imu_Rot_Z_peak_t_ms;SSC_imu_Rot_X_min;SSC_emg_BICEPS FEM_min;VDJ_imu_Accel_Earth_Z_mG_min;SSC_id_ankle_angle_r_moment_peak_t_ms;VDJ_imu_Accel_Earth_Y_mG_peak_t_ms;SSC_emg_VLO_max;SSC_grf_grf2_vy_peak_t_ms;SSC_emg_MED. GASTRO_range;VDJ_ik_hip_adduction_r_min;VDJ_imu_Accel_Earth_X_mG_std
0,40,40,4.0,f1,0.8,0.6449999999999999,0.9178743961352658,0.8711500974658869,0.6875,0.6153846153846153,0.90625,0.8,0.6666666666666665,False,
0,20,20,4.0,f1,0.782608695652174,0.48888787683384066,0.927536231884058,0.8362773029439696,0.8125,0.7000000000000001,0.84375,0.782608695652174,0.7826086956521738,False,
1,30,30,4.0,f1,0.8571428571428571,0.5499999999999999,0.9371980676328502,0.8400673400673402,0.8125,0.7499999999999999,0.90625,0.8571428571428571,0.8695652173913042,True,VDJ_emg_SEMITEND_min;VDJ_emg_VLO_peak_t_ms;SSC_syn1_early_integral;VDJ_imu_Accel_Earth_Y_mG_abs_peak;VDJ_emg_VMO_mean;VDJ_ik_knee_angle_r_max;VDJ_id_hip_flexion_r_moment_peak_t_ms;SSC_syn3_sparsity;SSC_id_hip_adduction_r_moment_std;VDJ_imu_Rot_X_max;SSC_id_ankle_angle_r_moment_peak_t_ms;VDJ_syn1_sparsity;SSC_syn2_early_integral;VDJ_emg_BICEPS FEM_min;VDJ_label_duration;VDJ_ik_hip_adduction_r_range;SSC_syn1_peak_t_ms;VDJ_imu_Accel_Earth_Y_mG_max;SSC_id_knee_angle_r_moment_auc;VDJ_id_hip_rotation_r_moment_max;VDJ_emg_LAT. GASTRO_min;SSC_emg_MED. GASTRO_min;SSC_id_hip_flexion_r_moment_max;VDJ_ik_hip_adduction_r_abs_peak;SSC_ik_subtalar_angle_r_std;VDJ_id_knee_angle_r_moment_std;SSC_id_hip_adduction_r_moment_max;VDJ_imu_Accel_Earth_Y_mG_min;VDJ_imu_Accel_Earth_Y_mG_peak_t_ms;VDJ_id_hip_rotation_r_moment_std
1,40,40,4.0,f1,0.8,0.6449999999999999,0.9516908212560387,0.9053230719897387,0.6875,0.6428571428571429,0.90625,0.8,0.6666666666666665,False,
1,20,20,4.0,f1,0.7272727272727274,0.5599999999999999,0.8985507246376812,0.809017779606015,0.71875,0.64,0.8125,0.7272727272727274,0.6714975845410627,False,
2,30,30,4.0,f1,1.0,0.6649999999999999,1.0,1.0,0.84375,0.761904761904762,1.0,1.0,1.0,True,VDJ_id_knee_angle_r_moment_min;VDJ_ik_hip_adduction_r_range;VDJ_emg_MED. GASTRO_range;SSC_ik_subtalar_angle_r_std;VDJ_emg_SEMITEND_min;VDJ_emg_VLO_peak_t_ms;VDJ_id_subtalar_angle_r_moment_min;VDJ_id_hip_adduction_r_moment_mean;SSC_ik_hip_flexion_r_std;SSC_id_knee_angle_r_moment_max;VDJ_imu_Accel_Earth_Y_mG_abs_peak;SSC_id_knee_angle_r_moment_std;SSC_id_knee_angle_r_moment_auc;VDJ_ik_hip_adduction_r_abs_peak;VDJ_id_knee_angle_r_moment_std;SSC_syn1_peak_t_ms;SSC_emg_VLO_peak_t_ms;VDJ_imu_Accel_Earth_X_mG_min;SSC_emg_BICEPS FEM_min;SSC_emg_LAT. GASTRO_peak_t_ms;SSC_imu_Accel_Earth_X_mG_auc;SSC_ik_hip_flexion_r_max;SSC_syn1_sparsity;SSC_id_hip_adduction_r_moment_std;SSC_id_hip_flexion_r_moment_max;VDJ_id_hip_adduction_r_moment_min;SSC_emg_MED. GASTRO_min;VDJ_syn1_sparsity;VDJ_syn2_early_integral;SSC_id_knee_angle_r_moment_peak_t_ms
2,40,40,4.0,f1,1.0,0.6549999999999999,1.0,1.0,0.875,0.8,1.0,1.0,1.0,False,
2,20,20,4.0,f1,0.9411764705882353,0.595,0.984375,0.9526289682539684,0.875,0.8,0.96875,0.9411764705882353,0.9583333333333335,False,
3,20,20,4.0,f1,0.8888888888888888,0.575,0.9323671497584541,0.8037257495590828,0.65625,0.6206896551724138,0.9375,0.8888888888888888,0.8454106280193237,True,SSC_id_knee_angle_r_moment_peak_t_ms;VDJ_emg_VLO_peak_t_ms;SSC_syn2_early_integral;SSC_grf_grf2_vz_mean;SSC_grf_grf2_vz_abs_peak;VDJ_ik_hip_adduction_r_range;SSC_id_hip_adduction_r_moment_abs_peak;SSC_id_hip_adduction_r_moment_std;VDJ_ik_hip_adduction_r_abs_peak;VDJ_emg_SEMITEND_min;SSC_ik_hip_rotation_r_range;VDJ_imu_Accel_Earth_Y_mG_abs_peak;SSC_emg_MED. GASTRO_range;SSC_syn4_peak_t_ms;VDJ_id_hip_adduction_r_moment_min;VDJ_vgrf_peak;VDJ_ik_ankle_angle_r_max;VDJ_imu_Accel_Earth_Y_mG_max;VDJ_ik_hip_rotation_r_max;SSC_emg_MED. GASTRO_min
3,40,40,4.0,f1,0.7999999999999999,0.585,0.893719806763285,0.7621874551699113,0.78125,0.6956521739130435,0.875,0.7999999999999999,0.758454106280193,False,
3,30,30,4.0,f1,0.7999999999999999,0.605,0.9033816425120773,0.703829141084043,0.75,0.6923076923076924,0.875,0.7999999999999999,0.758454106280193,False,
4,20,20,4.0,f1,0.9,0.49999999999999994,0.961352657004831,0.8870731120731121,0.9375,0.9,0.9375,0.9,0.9130434782608696,True,VDJ_imu_Accel_Earth_Y_mG_peak_t_ms;VDJ_imu_Accel_Earth_Y_mG_abs_peak;SSC_emg_MED. GASTRO_min;SSC_id_hip_adduction_r_moment_mean;VDJ_ik_hip_rotation_r_peak_t_ms;VDJ_id_subtalar_angle_r_moment_min;VDJ_syn1_sparsity;VDJ_imu_Accel_Earth_Y_mG_min;SSC_emg_RECTUS FEM_range;VDJ_emg_VLO_peak_t_ms;VDJ_emg_SEMITEND_min;VDJ_ik_hip_adduction_r_range;VDJ_ik_hip_adduction_r_abs_peak;VDJ_ik_hip_adduction_r_peak_t_ms;VDJ_emg_BICEPS FEM_min;SSC_id_hip_adduction_r_moment_std;VDJ_imu_Accel_Earth_Z_mG_mean;VDJ_imu_Accel_Earth_Y_mG_std;SSC_ik_hip_rotation_r_std;VDJ_ik_hip_adduction_r_min
4,30,30,4.0,f1,0.9,0.5099999999999999,0.9516908212560387,0.8733605900272566,0.90625,0.8571428571428571,0.9375,0.9,0.9130434782608696,False,
4,40,40,4.0,f1,0.8421052631578948,0.615,0.9565217391304347,0.9194444444444444,0.8125,0.7499999999999999,0.90625,0.8421052631578948,0.8019323671497585,False,
