fold,strategy,chosen_k,threshold,oof_objective,oof_f1,oof_youden,oof_accuracy,val_f1,val_youden,val_accuracy
0,accuracy,30,0.3610698754898685,0.75,0.19999999999999998,0.11111111111111116,0.75,0.0,0.0,0.75
0,balanced_accuracy,30,0.27021239568978767,0.748792270531401,0.6153846153846153,0.4975845410628019,0.6875,0.0,-0.5,0.375
0,f1,30,0.27021239568978767,0.6153846153846153,0.6153846153846153,0.4975845410628019,0.6875,0.0,-0.5,0.375
0,youden,30,0.27021239568978767,0.4975845410628019,0.6153846153846153,0.4975845410628019,0.6875,0.0,-0.5,0.375
1,accuracy,30,0.35121085355704607,0.75,0.3333333333333333,0.1787439613526569,0.75,0.0,0.0,0.75
1,balanced_accuracy,30,0.27307239240850206,0.7270531400966183,0.5925925925925926,0.4541062801932365,0.65625,0.28571428571428575,-0.16666666666666674,0.375
1,f1,30,0.27307239240850206,0.5925925925925926,0.5925925925925926,0.4541062801932365,0.65625,0.28571428571428575,-0.16666666666666674,0.375
1,youden,30,0.27307239240850206,0.4541062801932365,0.5925925925925926,0.4541062801932365,0.65625,0.28571428571428575,-0.16666666666666674,0.375
2,accuracy,30,0.2747675302171461,0.8125,0.6666666666666665,0.5833333333333335,0.8125,0.6666666666666666,0.4666666666666668,0.75
2,balanced_accuracy,30,0.25354782384681884,0.8125,0.6399999999999999,0.625,0.71875,0.5,0.06666666666666665,0.5
2,f1,30,0.2747675302171461,0.6666666666666665,0.6666666666666665,0.5833333333333335,0.8125,0.6666666666666666,0.4666666666666668,0.75
2,youden,30,0.25354782384681884,0.625,0.6399999999999999,0.625,0.71875,0.5,0.06666666666666665,0.5
3,accuracy,20,0.320822457545203,0.8125,0.5,0.33333333333333326,0.8125,0.0,0.0,0.75
3,balanced_accuracy,20,0.28698244139277423,0.681159420289855,0.5454545454545455,0.36231884057971,0.6875,0.4,0.16666666666666652,0.625
3,f1,20,0.28698244139277423,0.5454545454545455,0.5454545454545455,0.36231884057971,0.6875,0.4,0.16666666666666652,0.625
3,youden,20,0.28698244139277423,0.36231884057971,0.5454545454545455,0.36231884057971,0.6875,0.4,0.16666666666666652,0.625
4,accuracy,20,0.2916618372093612,0.8125,0.7000000000000001,0.6038647342995169,0.8125,0.25,-0.33333333333333337,0.25
4,balanced_accuracy,20,0.2916618372093612,0.8019323671497585,0.7000000000000001,0.6038647342995169,0.8125,0.25,-0.33333333333333337,0.25
4,f1,20,0.2916618372093612,0.7000000000000001,0.7000000000000001,0.6038647342995169,0.8125,0.25,-0.33333333333333337,0.25
4,youden,20,0.2916618372093612,0.6038647342995169,0.7000000000000001,0.6038647342995169,0.8125,0.25,-0.33333333333333337,0.25
