fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5794455409049988,0.7368421052631577,0.7368421052631577,0.6414141414141414,0.25,0.0
0,youden,0.57,0.648989898989899,0.7083333333333334,0.648989898989899,0.2,-0.16666666666666663
1,f1,0.5599999999999999,1.0,1.0,1.0,0.6666666666666666,0.5
1,youden,0.5599999999999999,1.0,1.0,1.0,0.6666666666666666,0.5
2,f1,0.6072980761528015,0.6470588235294118,0.6470588235294118,0.5353260869565217,0.5,0.19999999999999996
2,youden,0.6072980761528015,0.5353260869565217,0.6470588235294118,0.5353260869565217,0.5,0.19999999999999996
3,f1,0.58,1.0,1.0,1.0,0.3333333333333333,0.15909090909090917
3,youden,0.58,1.0,1.0,1.0,0.3333333333333333,0.15909090909090917
4,f1,0.575,0.9714285714285714,0.9714285714285714,0.9444444444444444,0.0,0.0
4,youden,0.575,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.0,0.0
