fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5794976353645325,0.7234042553191489,0.7234042553191489,0.6717171717171717,0.2,-0.16666666666666663
0,youden,0.5794976353645325,0.6717171717171717,0.7234042553191489,0.6717171717171717,0.2,-0.16666666666666663
1,f1,0.57,1.0,1.0,1.0,0.6666666666666666,0.5
1,youden,0.57,1.0,1.0,1.0,0.6666666666666666,0.5
2,f1,0.6049807071685791,0.6341463414634146,0.6341463414634146,0.5516304347826086,0.5333333333333333,0.16666666666666652
2,youden,0.6049807071685791,0.5516304347826086,0.6341463414634146,0.5516304347826086,0.5333333333333333,0.16666666666666652
3,f1,0.57,0.972972972972973,0.972972972972973,0.9777777777777779,0.3333333333333333,0.15909090909090917
3,youden,0.57,0.9777777777777779,0.972972972972973,0.9777777777777779,0.3333333333333333,0.15909090909090917
4,f1,0.6,0.923076923076923,0.923076923076923,0.9333333333333333,0.5,0.31818181818181834
4,youden,0.6,0.9333333333333333,0.923076923076923,0.9333333333333333,0.5,0.31818181818181834
