fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.6,0.6666666666666666,0.6666666666666666,0.5603864734299517,0.6666666666666666,0.6666666666666665
0,youden,0.6,0.5603864734299517,0.6666666666666666,0.5603864734299517,0.6666666666666666,0.6666666666666665
1,f1,0.6399999999999999,0.8750000000000001,0.8750000000000001,0.7777777777777777,0.0,0.0
1,youden,0.59,0.8695652173913042,0.8571428571428571,0.8695652173913042,0.8,0.8333333333333335
2,f1,0.605,1.0,1.0,1.0,0.5,0.33333333333333326
2,youden,0.605,1.0,1.0,1.0,0.5,0.33333333333333326
3,f1,0.5774834156036377,0.5833333333333334,0.5833333333333334,0.42995169082125617,0.0,-0.8333333333333334
3,youden,0.5774834156036377,0.42995169082125617,0.5833333333333334,0.42995169082125617,0.0,-0.8333333333333334
4,f1,0.49999999999999994,1.0,1.0,1.0,0.0,-0.16666666666666663
4,youden,0.49999999999999994,1.0,1.0,1.0,0.0,-0.16666666666666663
