fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5149999999999999,0.8421052631578948,0.8421052631578948,0.8019323671497585,0.0,0.0
0,youden,0.5149999999999999,0.8019323671497585,0.8421052631578948,0.8019323671497585,0.0,0.0
1,f1,0.5238771438598633,1.0,1.0,1.0,1.0,1.0
1,youden,0.5238771438598633,1.0,1.0,1.0,1.0,1.0
2,f1,0.5218802094459534,0.5714285714285715,0.5714285714285715,0.4166666666666665,0.5,0.33333333333333326
2,youden,0.5218802094459534,0.4166666666666665,0.5714285714285715,0.4166666666666665,0.5,0.33333333333333326
3,f1,0.4908454716205597,0.6,0.6,0.4492753623188406,0.4,0.16666666666666652
3,youden,0.4908454716205597,0.4492753623188406,0.6,0.4492753623188406,0.4,0.16666666666666652
4,f1,0.49999999999999994,1.0,1.0,1.0,0.0,-0.16666666666666663
4,youden,0.49999999999999994,1.0,1.0,1.0,0.0,-0.16666666666666663
