fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.6499999999999999,1.0,1.0,1.0,0.4,0.16666666666666652
0,youden,0.6499999999999999,1.0,1.0,1.0,0.4,0.16666666666666652
1,f1,0.6449999999999999,1.0,1.0,1.0,0.0,0.0
1,youden,0.6449999999999999,1.0,1.0,1.0,0.0,0.0
2,f1,0.5887646675109863,0.75,0.75,0.6666666666666665,0.5,0.33333333333333326
2,youden,0.5887646675109863,0.6666666666666665,0.75,0.6666666666666665,0.5,0.33333333333333326
3,f1,0.58,0.9,0.9,0.9130434782608696,0.0,-0.16666666666666663
3,youden,0.58,0.9130434782608696,0.9,0.9130434782608696,0.0,-0.16666666666666663
4,f1,0.695,0.7368421052631577,0.7368421052631577,0.6473429951690821,0.0,-0.33333333333333337
4,youden,0.6799999999999999,0.6714975845410627,0.7272727272727274,0.6714975845410627,0.0,-0.33333333333333337
