fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.615,0.6250000000000001,0.6250000000000001,0.468599033816425,0.8,0.8333333333333335
0,youden,0.6038936972618103,0.47342995169082114,0.6086956521739131,0.47342995169082114,0.6666666666666666,0.6666666666666665
1,f1,0.5277509689331055,0.5294117647058824,0.5294117647058824,0.30434782608695654,0.5,0.33333333333333326
1,youden,0.5277509689331055,0.30434782608695654,0.5294117647058824,0.30434782608695654,0.5,0.33333333333333326
2,f1,0.6,1.0,1.0,1.0,0.8,0.6666666666666665
2,youden,0.6,1.0,1.0,1.0,0.8,0.6666666666666665
3,f1,0.6714437007904053,0.6666666666666667,0.6666666666666667,0.5845410628019323,0.3333333333333333,0.0
3,youden,0.6669184565544128,0.6086956521739131,0.6666666666666666,0.6086956521739131,0.3333333333333333,0.0
4,f1,0.6,0.9473684210526316,0.9473684210526316,0.9565217391304348,0.0,0.0
4,youden,0.6,0.9565217391304348,0.9473684210526316,0.9565217391304348,0.0,0.0
